7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,1.22,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,1.34,,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,6.31,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,6.88,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,45.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,45.00,,,,,,,
,,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,51.00,,,,,,,
,,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,,,,50.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,1.14,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,1.16,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Year Sep 14,,,,,6.11,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Year Sep 15,,,,,5.88,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,1.36,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,1.55,,
,,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,6.52,,
,,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,7.80,,
,1.07,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,1.18,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,5.68,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,6.31,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,AAPL,37.82B,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,40.58B,,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,181.63B,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,Revenue Est,,,,,,,,AAPL,194.17B,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,42,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,42,,,,,,,
,,,,Current Year Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,50,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MCD,1.44,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MCD,1.62,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,MCD,5.76,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,MCD,6.26,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,24.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,24.00,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,28.00,,,,,,,
